#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
-,Philip Billing,Mediocentro,27,11/06/1996,"1,93",izquierdo,3,-,07/10/2020,18000000,Dinamarca
-,Mathias Jensen,Mediocentro,27,01/01/1996,"1,80",derecho,20,1,07/10/2020,14000000,Dinamarca
-,Casper Nielsen,Mediocentro,29,29/04/1994,"1,82",derecho,-,-,-,8000000,Dinamarca
-,Daniel Wass,Mediocentro,34,31/05/1989,"1,78",derecho,44,1,09/02/2011,3000000,Dinamarca
-,Thomas Delaney,Mediocentro,31,03/09/1991,"1,82",izquierdo,71,7,15/10/2013,3000000,Dinamarca
-,Andreas Skov Olsen,Interior derecho,23,29/12/1999,"1,87",izquierdo,23,8,07/10/2020,20000000,Dinamarca
-,Jesper Lindström,Mediocentro ofensivo,23,29/02/2000,"1,82",derecho,6,1,11/11/2020,28000000,Dinamarca
-,Christian Eriksen,Mediocentro ofensivo,31,14/02/1992,"1,82",derecho,117,39,03/03/2010,25000000,Dinamarca
-,Mikkel Damsgaard,Extremo izquierdo,22,03/07/2000,"1,80",derecho,18,4,11/11/2020,15000000,Dinamarca
-,Robert Skov,Extremo derecho,27,20/05/1996,"1,85",izquierdo,11,5,10/06/2019,9000000,Dinamarca
-,Rasmus Höjlund,Delantero centro,20,04/02/2003,"1,91",izquierdo,2,-,22/09/2022,15000000,Dinamarca
-,Jonas Wind,Delantero centro,24,07/02/1999,"1,90",derecho,15,5,07/10/2020,14000000,Dinamarca
-,Kasper Dolberg,Delantero centro,25,06/10/1997,"1,87",derecho,37,11,11/11/2016,12000000,Dinamarca
-,Yussuf Poulsen,Delantero centro,29,15/06/1994,"1,92",derecho,69,11,31/01/2013,10000000,Dinamarca
-,Andreas Cornelius,Delantero centro,30,16/03/1993,"1,93",izquierdo,43,13,08/09/2012,7000000,Dinamarca
-,Martin Braithwaite,Delantero centro,32,05/06/1991,"1,77",derecho,62,10,05/06/2013,5000000,Dinamarca
12,Predrag Rajković,Portero,27,31/10/1995,"1,92",derecho,28.0,-,14/08/2013,10000000,Serbia
1,Marko Dmitrović,Portero,31,24/01/1992,"1,94",izquierdo,19.0,-,14/11/2017,5000000,Serbia
23,Vanja Milinković-Savić,Portero,26,20/02/1997,"2,02",derecho,6.0,-,11/11/2021,2500000,Serbia
-,Marko Ilić,Portero,25,03/02/1998,"1,91",derecho,1.0,-,07/06/2021,1600000,Serbia
2,Strahinja Pavlovic,Defensa central,22,24/05/2001,"1,94",izquierdo,21.0,1,03/09/2020,20000000,Serbia
4,Nikola Milenković,Defensa central,25,12/10/1997,"1,95",derecho,37.0,3,04/06/2018,20000000,Serbia
5,Milos Veljkovic,Defensa central,27,26/09/1995,"1,88",derecho,21.0,-,10/11/2017,5000000,Serbia
25,Strahinja Erakovic,Defensa central,22,22/01/2001,"1,86",derecho,1.0,-,02/06/2022,5000000,Serbia
-,Erhan Masovic,Defensa central,24,22/11/1998,"1,89",ambidiestro,2.0,-,05/06/2022,4000000,Serbia
26,Srdjan Babic,Defensa central,27,22/04/1996,"1,94",izquierdo,2.0,-,24/09/2022,3000000,Serbia
13,Stefan Mitrović,Defensa central,33,22/05/1990,"1,89",ambidiestro,34.0,-,01/06/2014,2000000,Serbia
-,Mihailo Ristić,Lateral izquierdo,27,31/10/1995,"1,80",izquierdo,8.0,-,29/09/2016,3500000,Serbia
-,Aleksa Terzić,Lateral izquierdo,23,17/08/1999,"1,84",izquierdo,5.0,-,07/06/2021,1500000,Serbia
